year,population,industrial_output,pollution,resources,service_output,resource_usage_rate
1900.0,1600000000.0,66500000000.0,0.18382352941176472,1.0,90.0,0.17664062500000002
1900.25,1601809265.943849,66039069972.70459,0.16482189907212885,0.99992934375,88.39034156260418,0.17521814447653045
1900.5,1603737714.1062284,66858284889.59252,0.14808236758244964,0.9998591772381541,88.50556787510537,0.17717841781823113
1900.75,1605864423.8869882,67660783270.59498,0.13333563746058938,0.9997881403104588,88.60711958245074,0.1790676252756101
1901.0,1608222625.1764386,68448724976.17899,0.12034533170793485,0.9997162507282339,88.69643111385095,0.18088732032161609
1901.25,1610784005.1268451,69224655149.99294,0.10890408354243514,0.9996435239579466,88.77774937965424,0.18264694921917982
1901.5,1613522943.2261157,69990733459.14311,0.09882997997061113,0.9995699727618498,88.85465752140243,0.18435474899824386
1901.75,1616416389.484822,70748798008.92097,0.08996343916609609,0.9994956076075494,88.930166813748,0.18601790571657498
1902.0,1619443710.862423,71500418883.38622,0.08216446881336664,0.9994204370096649,89.00679661625087,0.1876426937325065
1902.25,1622586519.725343,72246942825.01382,0.0753102589477796,0.9993444678146013,89.0866438231184,0.18923459752290028
1902.5,1625828494.5048869,72989530411.77335,0.06929306852983928,0.9992677054378497,89.17144309751356,0.19079841772886602
1902.75,1629155199.8577228,73729186925.25606,0.06401836998799798,0.9991901540617872,89.2626190352874,0.19233836313428188
1903.0,1632553911.4065888,74466787942.24506,0.059403220340411206,0.9991118168006792,89.36133127594181,0.19385813022362172
1903.25,1636013448.43974,75203100532.01488,0.05537483134040207,0.9990326958384906,89.46851346358935,0.19536097185868317
1903.5,1639524016.6718125,75938800806.37196,0.05186931445125504,0.9989527925441752,89.58490685618833,0.19684975648129496
1903.75,1643077062.22773,76674488450.30533,0.04883057940285981,0.9988721075683185,89.7110892865646,0.19832701910644326
1904.0,1646665137.331078,77410698757.9263,0.0462093676675076,0.9987906409243401,89.84750009312545,0.19979500522761057
1904.25,1650281777.6985512,78147912610.12914,0.04396240446000796,0.9987083920569098,89.99446156124706,0.2012557086197901
1904.5,1653921391.3142326,78886564755.66885,0.04205165485767524,0.9986253598997614,90.1521973475818,0.20271090389923754
1904.75,1657579158.0432951,79627050694.54546,0.04044367138304857,0.9985415429247086,90.32084829845502,0.20416217458435187
1905.0,1661250939.414402,80365826321.34898,0.039109021926517155,0.9984569391833457,90.49608756103427,0.20560094430172765
1905.25,1664931923.8191347,81091225965.85155,0.0380217882335906,0.9983715504928793,90.66477115748499,0.206998079275407
1905.5,1668614105.182614,81820248548.6626,0.03715912636535169,0.9982853910652906,90.84640565601545,0.20839812827409823
1905.75,1672295954.4544008,82553063564.46732,0.03650088158074708,0.9981984570512075,91.0406439678824,0.20980169162907158
1906.0,1675976200.6416552,83289837428.4123,0.03602925097121376,0.9981107444211703,91.2471439870383,0.21120932918691132
