year,population,industrial_output,pollution,resources,service_output,resource_usage_rate,co2e_emissions,xcc_value,xcc_supply,ecological_benefits
1900.0,1600000000.0,66500000000.0,0.18382352941176472,1.0,90.0,0.17664062500000002,19950000000.0,100.49999999999999,399000000.0,0.0
1900.25,1601809265.943849,66039069972.70459,0.16482189907212885,0.99992934375,88.39034156260418,0.17521814447653045,19811720991.811375,101.00249999999997,795234419.8362275,0.0
1900.5,1603737714.1062284,66858284889.59252,0.14808236758244964,0.9998591772381541,88.50556787510537,0.17717841781823113,20057485466.877754,101.50751249999996,1196384129.1737828,0.0
1900.75,1605864423.8869882,67660783270.59498,0.13333563746058938,0.9997881403104588,88.60711958245074,0.1790676252756101,20298234981.178493,102.01505006249995,1602348828.7973528,0.0
1901.0,1608222625.1764386,68448724976.17899,0.12034533170793485,0.9997162507282339,88.69643111385095,0.18088732032161609,20534617492.8537,102.52512531281243,2013041178.6544268,0.0
1901.25,1610784005.1268451,69224655149.99294,0.10890408354243514,0.9996435239579466,88.77774937965424,0.18264694921917982,20767396544.99788,103.03775093937648,2428389109.554384,0.0
1901.5,1613522943.2261157,69990733459.14311,0.09882997997061113,0.9995699727618498,88.85465752140243,0.18435474899824386,20997220037.74293,103.55293969407334,2848333510.3092427,0.0
1901.75,1616416389.484822,70748798008.92097,0.08996343916609609,0.9994956076075494,88.930166813748,0.18601790571657498,21224639402.676292,104.0707043925437,3272826298.3627687,0.0
1902.0,1619443710.862423,71500418883.38622,0.08216446881336664,0.9994204370096649,89.00679661625087,0.1876426937325065,21450125665.015865,104.59105791450641,3701828811.663086,0.0
1902.25,1622586519.725343,72246942825.01382,0.0753102589477796,0.9993444678146013,89.0866438231184,0.18923459752290028,21674082847.504147,105.11401320407893,4135310468.6131687,413531046.8613169
1902.5,1625828494.5048869,72989530411.77335,0.06929306852983928,0.9992677054378497,89.17144309751356,0.19079841772886602,21896859123.532,105.63958327009931,4573247651.083809,417424765.1083809
1902.75,1629155199.8577228,73729186925.25606,0.06401836998799798,0.9991901540617872,89.2626190352874,0.19233836313428188,22118756077.576817,106.16778118644979,5015622772.635345,422038835.27991176
1903.0,1632553911.4065888,74466787942.24506,0.059403220340411206,0.9991118168006792,89.36133127594181,0.19385813022362172,22340036382.673515,106.69862009238203,5462423500.2888155,426603937.1115033
1903.25,1636013448.43974,75203100532.01488,0.05537483134040207,0.9990326958384906,89.46851346358935,0.19536097185868317,22560930159.60446,107.23211319284393,5913642103.480905,431129327.46835524
1903.5,1639524016.6718125,75938800806.37196,0.05186931445125504,0.9989527925441752,89.58490685618833,0.19684975648129496,22781640241.911587,107.76827375880814,6369274908.319137,435623372.966471
1903.75,1643077062.22773,76674488450.30533,0.04883057940285981,0.9988721075683185,89.7110892865646,0.19832701910644326,23002346535.0916,108.30711512760216,6829321839.020968,440093272.9466585
1904.0,1646665137.331078,77410698757.9263,0.0462093676675076,0.9987906409243401,89.84750009312545,0.19979500522761057,23223209627.377888,108.84865070324015,7293786031.568526,444545252.1259284
1904.25,1650281777.6985512,78147912610.12914,0.04396240446000796,0.9987083920569098,89.99446156124706,0.2012557086197901,23444373783.03874,109.39289395675634,7762673507.229301,448984720.88665324
1904.5,1653921391.3142326,78886564755.66885,0.04205165485767524,0.9986253598997614,90.1521973475818,0.20271090389923754,23665969426.700657,109.93985842654011,8235992895.763314,453416408.4100228
1904.75,1657579158.0432951,79627050694.54546,0.04044367138304857,0.9985415429247086,90.32084829845502,0.20416217458435187,23888115208.363636,110.4895577186728,8713755199.930588,457844473.1317418
1905.0,1661250939.414402,80365826321.34898,0.039109021926517155,0.9984569391833457,90.49608756103427,0.20560094430172765,24109747896.404694,111.04200550726615,9195950157.85868,462270250.67748725
1905.25,1664931923.8191347,81091225965.85155,0.0380217882335906,0.9983715504928793,90.66477115748499,0.206998079275407,24327367789.755463,111.59721553480247,9682497513.65379,466687474.1018445
